word	x	y	nearest
刊登	57.8077320189	-67.1813424778	0.764
生日礼物	27.5416497903	9.95119257531	0.554
故事	17.9269322244	-81.8024282312	0.709
无力	-9.71838141662	50.9588609902	0.522
sundowner	12.8169988688	-18.9224636694	0.464
整个	-49.0237505351	-15.6218239779	0.548
制止	-40.3173362985	19.5752907221	0.665
奏稿	24.2091867382	-44.3439171203	0.708
很大	-70.7299874683	-13.5520595777	0.640
其中	-41.5349596291	-21.7056988617	0.646
一时期	-69.5061711989	-44.7168486425	0.677
季官	27.9118379736	0.801588787717	0.677
不会	-81.804534579	21.1361083756	0.581
秋天	7.89858404379	92.5533861927	0.640
看穿	14.4160103675	23.1014939512	0.499
无论	-34.5559677259	-88.8527465676	0.727
依然	-66.719711123	24.795331405	0.701
感激	17.7911494672	34.0815518519	0.521
唔	75.3824019606	7.78847245098	0.458
二纹	7.64573571443	-32.2338335383	0.481
表达	-53.4920367818	41.377613495	0.586
而	-54.0560812786	10.4581199591	0.701
学习成绩	-24.2401748258	85.7318410477	0.612
向秀吉	-13.804484597	15.7631359415	0.467
发动机舱	-8.81018794662	-21.028770549	0.613
